day,insurance,visitId,lengthPagecount,discount,whoweare,catalog,hour,application,lengthSeconds,howtojoin,referrerType
Tuesday,FALSE,1972,4,FALSE,FALSE,FALSE,16,FALSE,540,FALSE,Fulltext
Tuesday,FALSE,1973,5,FALSE,FALSE,FALSE,17,FALSE,1200,FALSE,NA
Tuesday,FALSE,1976,5,FALSE,FALSE,FALSE,16,FALSE,360,FALSE,Fulltext
Tuesday,FALSE,1978,3,FALSE,FALSE,FALSE,16,FALSE,240,FALSE,Fulltext
Tuesday,FALSE,1979,4,FALSE,FALSE,FALSE,16,FALSE,180,FALSE,Catalogue
Tuesday,FALSE,1986,3,FALSE,FALSE,FALSE,17,FALSE,1020,FALSE,NA
Tuesday,FALSE,1994,5,FALSE,FALSE,FALSE,17,FALSE,360,FALSE,Fulltext
Tuesday,FALSE,1997,5,FALSE,FALSE,FALSE,17,FALSE,300,FALSE,Fulltext
Tuesday,FALSE,1998,6,FALSE,FALSE,FALSE,17,FALSE,120,FALSE,NA
Tuesday,FALSE,2001,2,FALSE,FALSE,FALSE,17,FALSE,120,FALSE,Partners
Tuesday,FALSE,2004,6,FALSE,FALSE,FALSE,18,FALSE,600,FALSE,NA
Tuesday,FALSE,2008,4,FALSE,FALSE,FALSE,18,FALSE,120,FALSE,Fulltext
Tuesday,FALSE,2011,5,FALSE,TRUE,TRUE,18,FALSE,120,FALSE,NA
Tuesday,FALSE,2016,5,FALSE,FALSE,FALSE,18,FALSE,120,FALSE,NA
Tuesday,FALSE,2023,5,FALSE,FALSE,FALSE,18,FALSE,180,FALSE,Other
Tuesday,FALSE,2026,5,FALSE,FALSE,FALSE,18,FALSE,120,FALSE,Fulltext
Tuesday,FALSE,2027,6,FALSE,FALSE,FALSE,19,FALSE,780,FALSE,NA
Tuesday,FALSE,2028,4,FALSE,FALSE,FALSE,18,FALSE,120,FALSE,Other
Tuesday,FALSE,2029,5,FALSE,FALSE,FALSE,19,FALSE,780,FALSE,OwnWebs
Tuesday,FALSE,2034,2,FALSE,FALSE,FALSE,19,FALSE,120,FALSE,Partners
Tuesday,FALSE,2043,6,FALSE,FALSE,FALSE,19,FALSE,120,FALSE,Fulltext
Tuesday,FALSE,2044,4,FALSE,FALSE,FALSE,20,FALSE,1440,FALSE,Fulltext
